A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,BG411	1342 	1342 	1342 	1342 	1342 	1342 	1342 	1342 	1342 	1342 
A,TOTAL,KM2,BG412	7063 	7063 	7063 	7063 	7063 	7063 	7063 	7063 	7063 	7063 
A,TOTAL,KM2,BG413	6451 	6451 	6451 	6451 	6451 	6451 	6451 	6451 	6451 	6451 
A,TOTAL,KM2,BG414	2392 	2392 	2392 	2392 	2392 	2392 	2392 	2392 	2392 	2392 
A,TOTAL,KM2,BG415	3053 	3053 	3053 	3053 	3053 	3053 	3053 	3053 	3053 	3053 
A,TOTAL,KM2,BG42	22366 	22366 	22366 	22366 	22366 	22366 	22366 	22366 	22366 	22366 
A,TOTAL,KM2,BG421	5961 	5961 	5961 	5961 	5961 	5961 	5961 	5961 	5961 	5961 
A,TOTAL,KM2,BG422	5532 	5532 	5532 	5532 	5532 	5532 	5532 	5532 	5532 	5532 
A,TOTAL,KM2,BG423	4456 	4456 	4456 	4456 	4456 	4456 	4456 	4456 	4456 	4456 
A,TOTAL,KM2,BG424	3205 	3205 	3205 	3205 	3205 	3205 	3205 	3205 	3205 	3205 
A,TOTAL,KM2,BG425	3212 	3212 	3212 	3212 	3212 	3212 	3212 	3212 	3212 	3212 
A,TOTAL,KM2,CH	41289 	41287 	41287 	41287 	41287 	41287 	41287 	41287 	41287 	41287 
A,TOTAL,KM2,CH0	41289 	41287 	41287 	41287 	41287 	41287 	41287 	41287 	41287 	41287 
A,TOTAL,KM2,CH01	8718 	8717 	8717 	8717 	8717 	8717 	8717 	8717 	8717 	8717 
A,TOTAL,KM2,CH011	3212 	3212 	3212 	3212 	3212 	3212 	3212 	3212 	3212 	3212 
A,TOTAL,KM2,CH012	5223 	5223 	5223 	5223 	5223 	5223 	5223 	5223 	5223 	5223 
A,TOTAL,KM2,CH013	282 	282 	282 	282 	282 	282 	282 	282 	282 	282 
A,TOTAL,KM2,CH02	10060 	10061 	10061 	10061 	10061 	10061 	10061 	10061 	10061 	10061 
A,TOTAL,KM2,CH021	5959 	5959 	5959 	5959 	5959 	5959 	5959 	5959 	5959 	5959 
A,TOTAL,KM2,CH022	1671 	1671 	1671 	1671 	1671 	1671 	1671 	1671 	1671 	1671 
A,TOTAL,KM2,CH023	789 	789 	789 	789 	789 	789 	789 	789 	789 	789 
A,TOTAL,KM2,CH024	803 	803 	803 	803 	803 	803 	803 	803 	803 	803 
A,TOTAL,KM2,CH025	839 	839 	839 	839 	839 	839 	839 	839 	839 	839 
A,TOTAL,KM2,CH03	1958 	1958 	1958 	1958 	1958 	1958 	1958 	1958 	1958 	1958 
A,TOTAL,KM2,CH031	37 	37 	37 	37 	37 	37 	37 	37 	37 	37 
A,TOTAL,KM2,CH032	517 	517 	517 	517 	517 	517 	517 	517 	517 	517 
A,TOTAL,KM2,CH033	1404 	1404 	1404 	1404 	1404 	1404 	1404 	1404 	1404 	1404 
A,TOTAL,KM2,CH04	1728 	1728 	1728 	1728 	1728 	1728 	1728 	1728 	1728 	1728 
A,TOTAL,KM2,CH040	1728 	1728 	1728 	1728 	1728 	1728 	1728 	1728 	1728 	1728 
A,TOTAL,KM2,CH05	11529 	11529 	11529 	11529 	11529 	11529 	11529 	11529 	11529 	11529 
A,TOTAL,KM2,CH051	686 	686 	686 	686 	686 	686 	686 	686 	686 	686 
A,TOTAL,KM2,CH052	298 	298 	298 	298 	298 	298 	298 	298 	298 	298 
A,TOTAL,KM2,CH053	243 	243 	243 	243 	243 	243 	243 	243 	243 	243 
A,TOTAL,KM2,CH054	172 	172 	172 	172 	172 	172 	172 	172 	172 	172 
A,TOTAL,KM2,CH055	2033 	2033 	2033 	2033 	2033 	2033 	2033 	2033 	2033 	2033 
