A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,DEA29	628 	628 	628 	628 	628 	628 	628 	628 	628 	628 
A,TOTAL,KM2,DEA2A	919 	919 	919 	919 	919 	919 	919 	919 	919 	919 
A,TOTAL,KM2,DEA2B	437 	437 	437 	437 	437 	437 	437 	437 	437 	437 
A,TOTAL,KM2,DEA2C	1153 	1153 	1153 	1153 	1153 	1153 	1153 	1153 	1153 	1153 
A,TOTAL,KM2,DEA2D	707 	707 	707 	707 	707 	707 	707 	707 	707 	707 
A,TOTAL,KM2,DEA3	6918 	6918 	6918 	6918 	6918 	6918 	6918 	6918 	6918 	6918 
A,TOTAL,KM2,DEA31	101 	101 	101 	101 	101 	101 	101 	101 	101 	101 
A,TOTAL,KM2,DEA32	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 
A,TOTAL,KM2,DEA33	303 	303 	303 	303 	303 	303 	303 	303 	303 	303 
A,TOTAL,KM2,DEA34	1421 	1421 	1421 	1421 	1421 	1421 	1421 	1421 	1421 	1421 
A,TOTAL,KM2,DEA35	1112 	1112 	1112 	1112 	1112 	1112 	1112 	1112 	1112 	1112 
A,TOTAL,KM2,DEA36	761 	761 	761 	761 	761 	761 	761 	761 	761 	761 
A,TOTAL,KM2,DEA37	1796 	1796 	1796 	1796 	1796 	1796 	1796 	1796 	1796 	1796 
A,TOTAL,KM2,DEA38	1319 	1319 	1319 	1319 	1319 	1319 	1319 	1319 	1319 	1319 
A,TOTAL,KM2,DEA4	6525 	6524 	6524 	6524 	6524 	6524 	6524 	6524 	6524 	6524 
A,TOTAL,KM2,DEA41	259 	259 	259 	259 	259 	259 	259 	259 	259 	259 
A,TOTAL,KM2,DEA42	969 	969 	969 	969 	969 	969 	969 	969 	969 	969 
A,TOTAL,KM2,DEA43	450 	450 	450 	450 	450 	450 	450 	450 	450 	450 
A,TOTAL,KM2,DEA44	1201 	1201 	1201 	1201 	1201 	1201 	1201 	1201 	1201 	1201 
A,TOTAL,KM2,DEA45	1246 	1246 	1246 	1246 	1246 	1246 	1246 	1246 	1246 	1246 
A,TOTAL,KM2,DEA46	1152 	1152 	1152 	1152 	1152 	1152 	1152 	1152 	1152 	1152 
A,TOTAL,KM2,DEA47	1247 	1247 	1247 	1247 	1247 	1247 	1247 	1247 	1247 	1247 
A,TOTAL,KM2,DEA5	8012 	8012 	8012 	8012 	8012 	8012 	8012 	8012 	8012 	8012 
A,TOTAL,KM2,DEA51	146 	146 	146 	146 	146 	146 	146 	146 	146 	146 
A,TOTAL,KM2,DEA52	281 	281 	281 	281 	281 	281 	281 	281 	281 	281 
A,TOTAL,KM2,DEA53	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 
A,TOTAL,KM2,DEA54	226 	226 	226 	226 	226 	226 	226 	226 	226 	226 
A,TOTAL,KM2,DEA55	51 	51 	51 	51 	51 	51 	51 	51 	51 	51 
A,TOTAL,KM2,DEA56	410 	410 	410 	410 	410 	410 	410 	410 	410 	410 
A,TOTAL,KM2,DEA57	1960 	1960 	1960 	1960 	1960 	1960 	1960 	1960 	1960 	1960 
A,TOTAL,KM2,DEA58	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 
A,TOTAL,KM2,DEA59	712 	712 	712 	712 	712 	712 	712 	712 	712 	712 
A,TOTAL,KM2,DEA5A	1133 	1133 	1133 	1133 	1133 	1133 	1133 	1133 	1133 	1133 
A,TOTAL,KM2,DEA5B	1329 	1329 	1329 	1329 	1329 	1329 	1329 	1329 	1329 	1329 
A,TOTAL,KM2,DEA5C	543 	543 	543 	543 	543 	543 	543 	543 	543 	543 
A,TOTAL,KM2,DEB	19852 	19853 	19853 	19853 	19853 	19853 	19853 	19853 	19853 	19853 
A,TOTAL,KM2,DEB1	8075 	8075 	8075 	8075 	8075 	8075 	8075 	8075 	8075 	8075 
A,TOTAL,KM2,DEB11	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 
A,TOTAL,KM2,DEB12	787 	787 	787 	787 	787 	787 	787 	787 	787 	787 
A,TOTAL,KM2,DEB13	642 	642 	642 	642 	642 	642 	642 	642 	642 	642 
A,TOTAL,KM2,DEB14	864 	864 	864 	864 	864 	864 	864 	864 	864 	864 
A,TOTAL,KM2,DEB15	777 	777 	777 	777 	777 	777 	777 	777 	777 	777 
A,TOTAL,KM2,DEB16	692 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,DEB17	818 	818 	818 	818 	818 	818 	818 	818 	818 	818 
A,TOTAL,KM2,DEB18	627 	627 	627 	627 	627 	627 	627 	627 	627 	627 
A,TOTAL,KM2,DEB19	991 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,DEB1A	782 	782 	782 	782 	782 	782 	782 	782 	782 	782 
A,TOTAL,KM2,DEB1B	989 	989 	989 	989 	989 	989 	989 	989 	989 	989 
A,TOTAL,KM2,DEB1C	: m	720 e	720 e	720 e	720 	720 	720 	720 	720 	720 
A,TOTAL,KM2,DEB1D	: m	964 e	964 e	964 e	964 	964 	964 	964 	964 	964 
A,TOTAL,KM2,DEB2	4926 	4926 	4926 	4926 	4926 	4926 	4926 	4926 	4926 	4926 
A,TOTAL,KM2,DEB21	117 	117 	117 	117 	117 	117 	117 	117 	117 	117 
A,TOTAL,KM2,DEB22	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 
A,TOTAL,KM2,DEB23	1627 	1627 	1627 	1627 	1627 	1627 	1627 	1627 	1627 	1627 
A,TOTAL,KM2,DEB24	912 	912 	912 	912 	912 	912 	912 	912 	912 	912 
A,TOTAL,KM2,DEB25	1102 	1102 	1102 	1102 	1102 	1102 	1102 	1102 	1102 	1102 
A,TOTAL,KM2,DEB3	6851 	6852 	6852 	6852 	6852 	6852 	6852 	6852 	6852 	6852 
A,TOTAL,KM2,DEB31	44 	44 	44 	44 	44 	44 	44 	44 	44 	44 
A,TOTAL,KM2,DEB32	140 	140 	140 	140 	140 	140 	140 	140 	140 	140 
A,TOTAL,KM2,DEB33	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 
A,TOTAL,KM2,DEB34	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 
A,TOTAL,KM2,DEB35	98 	98 	98 	98 	98 	98 	98 	98 	98 	98 
A,TOTAL,KM2,DEB36	117 	117 	117 	117 	117 	117 	117 	117 	117 	117 
A,TOTAL,KM2,DEB37	61 	61 	61 	61 	61 	61 	61 	61 	61 	61 
A,TOTAL,KM2,DEB38	43 	43 	43 	43 	43 	43 	43 	43 	43 	43 
A,TOTAL,KM2,DEB39	109 	109 	109 	109 	109 	109 	109 	109 	109 	109 
A,TOTAL,KM2,DEB3A	71 	71 	71 	71 	71 	71 	71 	71 	71 	71 
A,TOTAL,KM2,DEB3B	588 	588 	588 	588 	588 	588 	588 	588 	588 	588 
A,TOTAL,KM2,DEB3C	595 	595 	595 	595 	595 	595 	595 	595 	595 	595 
A,TOTAL,KM2,DEB3D	645 	645 	645 	645 	645 	645 	645 	645 	645 	645 
A,TOTAL,KM2,DEB3E	463 	463 	463 	463 	463 	463 	463 	463 	463 	463 
A,TOTAL,KM2,DEB3F	640 	640 	640 	640 	640 	640 	640 	640 	640 	640 
A,TOTAL,KM2,DEB3G	574 	574 	574 	574 	574 	574 	574 	574 	574 	574 
A,TOTAL,KM2,DEB3H	640 	640 	640 	640 	640 	640 	640 	640 	640 	640 
A,TOTAL,KM2,DEB3I	305 	305 	305 	305 	305 	305 	305 	305 	305 	305 
A,TOTAL,KM2,DEB3J	605 	605 	605 	605 	605 	605 	605 	605 	605 	605 
A,TOTAL,KM2,DEB3K	954 	954 	954 	954 	954 	954 	954 	954 	954 	954 
A,TOTAL,KM2,DEC	2571 	2571 	2571 	2571 	2571 	2571 	2571 	2571 	2571 	2571 
A,TOTAL,KM2,DEC0	2571 	2571 	2571 	2571 	2571 	2571 	2571 	2571 	2571 	2571 
A,TOTAL,KM2,DEC01	411 	411 	411 	411 	411 	411 	411 	411 	411 	411 
A,TOTAL,KM2,DEC02	557 	557 	557 	557 	557 	557 	557 	557 	557 	557 
A,TOTAL,KM2,DEC03	250 	250 	250 	250 	250 	250 	250 	250 	250 	250 
A,TOTAL,KM2,DEC04	459 	459 	459 	459 	459 	459 	459 	459 	459 	459 
A,TOTAL,KM2,DEC05	418 	418 	418 	418 	418 	418 	418 	418 	418 	418 
A,TOTAL,KM2,DEC06	476 	476 	476 	476 	476 	476 	476 	476 	476 	476 
A,TOTAL,KM2,DED	18450 	18450 	18450 	18450 	18450 	18450 	18450 	18450 	18450 	18450 
A,TOTAL,KM2,DED2	7944 	7944 	7944 	7944 	7944 	7944 	7944 	7944 	7944 	7944 
A,TOTAL,KM2,DED21	328 	328 	328 	328 	328 	328 	328 	328 	328 	328 
A,TOTAL,KM2,DED2C	2396 	2396 	2396 	2396 	2396 	2396 	2396 	2396 	2396 	2396 
A,TOTAL,KM2,DED2D	2111 	2111 	2111 	2111 	2111 	2111 	2111 	2111 	2111 	2111 
A,TOTAL,KM2,DED2E	1455 	1455 	1455 	1455 	1455 	1455 	1455 	1455 	1455 	1455 
A,TOTAL,KM2,DED2F	1654 	1654 	1654 	1654 	1654 	1654 	1654 	1654 	1654 	1654 
A,TOTAL,KM2,DED4	6528 	6528 	6528 	6528 	6528 	6528 	6528 	6528 	6528 	6528 
A,TOTAL,KM2,DED41	221 	221 	221 	221 	221 	221 	221 	221 	221 	221 
A,TOTAL,KM2,DED42	1828 	1828 	1828 	1828 	1828 	1828 	1828 	1828 	1828 	1828 
A,TOTAL,KM2,DED43	2117 	2117 	2117 	2117 	2117 	2117 	2117 	2117 	2117 	2117 
A,TOTAL,KM2,DED44	1412 	1412 	1412 	1412 	1412 	1412 	1412 	1412 	1412 	1412 
A,TOTAL,KM2,DED45	950 	950 	950 	950 	950 	950 	950 	950 	950 	950 
A,TOTAL,KM2,DED5	3978 	3978 	3978 	3978 	3978 	3978 	3978 	3978 	3978 	3978 
A,TOTAL,KM2,DED51	298 	298 	298 	298 	298 	298 	298 	298 	298 	298 
A,TOTAL,KM2,DED52	1651 	1651 	1651 	1651 	1651 	1651 	1651 	1651 	1651 	1651 
A,TOTAL,KM2,DED53	2029 	2029 	2029 	2029 	2029 	2029 	2029 	2029 	2029 	2029 
A,TOTAL,KM2,DEE	20452 	20454 	20454 	20454 	20454 	20454 	20454 	20454 	20454 	20454 
A,TOTAL,KM2,DEE0	20452 	20454 	20454 	20454 	20454 	20454 	20454 	20454 	20454 	20454 
A,TOTAL,KM2,DEE01	245 	245 	245 	245 	245 	245 	245 	245 	245 	245 
A,TOTAL,KM2,DEE02	135 	135 	135 	135 	135 	135 	135 	135 	135 	135 
A,TOTAL,KM2,DEE03	201 	201 	201 	201 	201 	201 	201 	201 	201 	201 
A,TOTAL,KM2,DEE04	2293 	2293 	2293 	2293 	2293 	2293 	2293 	2293 	2293 	2293 
A,TOTAL,KM2,DEE05	1454 	1454 	1454 	1454 	1454 	1454 	1454 	1454 	1454 	1454 
A,TOTAL,KM2,DEE06	1577 	1577 	1577 	1577 	1577 	1577 	1577 	1577 	1577 	1577 
A,TOTAL,KM2,DEE07	2367 	2367 	2367 	2367 	2367 	2367 	2367 	2367 	2367 	2367 
A,TOTAL,KM2,DEE08	1414 	1414 	1414 	1414 	1414 	1414 	1414 	1414 	1414 	1414 
A,TOTAL,KM2,DEE09	2105 	2105 	2105 	2105 	2105 	2105 	2105 	2105 	2105 	2105 
A,TOTAL,KM2,DEE0A	1449 	1449 	1449 	1449 	1449 	1449 	1449 	1449 	1449 	1449 
A,TOTAL,KM2,DEE0B	1434 	1434 	1434 	1434 	1434 	1434 	1434 	1434 	1434 	1434 
A,TOTAL,KM2,DEE0C	1427 	1427 	1427 	1427 	1427 	1427 	1427 	1427 	1427 	1427 
A,TOTAL,KM2,DEE0D	2423 	2423 	2423 	2423 	2423 	2423 	2423 	2423 	2423 	2423 
A,TOTAL,KM2,DEE0E	1930 	1930 	1930 	1930 	1930 	1930 	1930 	1930 	1930 	1930 
A,TOTAL,KM2,DEF	15802 	15802 	15802 	15802 	15802 	15802 	15802 	15802 	15802 	15802 
A,TOTAL,KM2,DEF0	15802 	15802 	15802 	15802 	15802 	15802 	15802 	15802 	15802 	15802 
A,TOTAL,KM2,DEF01	57 	57 	57 	57 	57 	57 	57 	57 	57 	57 
A,TOTAL,KM2,DEF02	119 	119 	119 	119 	119 	119 	119 	119 	119 	119 
A,TOTAL,KM2,DEF03	214 	214 	214 	214 	214 	214 	214 	214 	214 	214 
A,TOTAL,KM2,DEF04	72 	72 	72 	72 	72 	72 	72 	72 	72 	72 
A,TOTAL,KM2,DEF05	1428 	1428 	1428 	1428 	1428 	1428 	1428 	1428 	1428 	1428 
A,TOTAL,KM2,DEF06	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 
A,TOTAL,KM2,DEF07	2083 	2083 	2083 	2083 	2083 	2083 	2083 	2083 	2083 	2083 
A,TOTAL,KM2,DEF08	1393 	1393 	1393 	1393 	1393 	1393 	1393 	1393 	1393 	1393 
A,TOTAL,KM2,DEF09	664 	664 	664 	664 	664 	664 	664 	664 	664 	664 
A,TOTAL,KM2,DEF0A	1083 	1083 	1083 	1083 	1083 	1083 	1083 	1083 	1083 	1083 
A,TOTAL,KM2,DEF0B	2189 	2189 	2189 	2189 	2189 	2189 	2189 	2189 	2189 	2189 
A,TOTAL,KM2,DEF0C	2071 	2071 	2071 	2071 	2071 	2071 	2071 	2071 	2071 	2071 
A,TOTAL,KM2,DEF0D	1344 	1344 	1344 	1344 	1344 	1344 	1344 	1344 	1344 	1344 
A,TOTAL,KM2,DEF0E	1056 	1056 	1056 	1056 	1056 	1056 	1056 	1056 	1056 	1056 
A,TOTAL,KM2,DEF0F	766 	766 	766 	766 	766 	766 	766 	766 	766 	766 
A,TOTAL,KM2,DEG	16202 	16201 	16201 	16201 	16201 	16201 	16201 	16201 	16201 	16201 
A,TOTAL,KM2,DEG0	16202 	16201 	16201 	16201 	16201 	16201 	16201 	16201 	16201 	16201 
A,TOTAL,KM2,DEG01	270 	270 	270 	270 	270 	270 	270 	270 	270 	270 
A,TOTAL,KM2,DEG02	152 	152 	152 	152 	152 	152 	152 	152 	152 	152 
A,TOTAL,KM2,DEG03	115 	115 	115 	115 	115 	115 	115 	115 	115 	115 
A,TOTAL,KM2,DEG04	103 	103 	103 	103 	103 	103 	103 	: m	: m	: m
A,TOTAL,KM2,DEG05	84 	84 	84 	84 	84 	84 	84 	84 	84 	84 
A,TOTAL,KM2,DEG06	943 	943 	943 	943 	943 	943 	943 	943 	943 	943 
A,TOTAL,KM2,DEG07	714 	714 	714 	714 	714 	714 	714 	714 	714 	714 
A,TOTAL,KM2,DEG09	980 	980 	980 	980 	980 	980 	980 	980 	980 	980 
A,TOTAL,KM2,DEG0A	1038 	1038 	1038 	1038 	1038 	1038 	1038 	1038 	1038 	1038 
A,TOTAL,KM2,DEG0B	1211 	1211 	1211 	1211 	1211 	1211 	1211 	: m	: m	: m
A,TOTAL,KM2,DEG0C	936 	936 	936 	936 	936 	936 	936 	936 	936 	936 
A,TOTAL,KM2,DEG0D	807 	807 	807 	807 	807 	807 	807 	807 	807 	807 
A,TOTAL,KM2,DEG0E	938 	938 	938 	938 	938 	938 	938 	938 	938 	938 
A,TOTAL,KM2,DEG0F	844 	844 	844 	844 	844 	844 	844 	: m	: m	: m
A,TOTAL,KM2,DEG0G	804 	804 	804 	804 	804 	804 	804 	804 	804 	804 
A,TOTAL,KM2,DEG0H	434 	434 	434 	434 	434 	434 	434 	: m	: m	: m
A,TOTAL,KM2,DEG0I	1036 	1036 	1036 	1036 	1036 	1036 	1036 	: m	: m	: m
A,TOTAL,KM2,DEG0J	815 	815 	815 	815 	815 	815 	815 	815 	815 	815 
A,TOTAL,KM2,DEG0K	1151 	1151 	1151 	1151 	1151 	1151 	1151 	1151 	1151 	1151 
A,TOTAL,KM2,DEG0L	846 	846 	846 	846 	846 	846 	846 	846 	846 	846 
A,TOTAL,KM2,DEG0M	569 	569 	569 	569 	569 	569 	569 	569 	569 	569 
A,TOTAL,KM2,DEG0N	104 	104 	104 	104 	104 	104 	104 	: m	: m	: m
A,TOTAL,KM2,DEG0P	1307 	1307 	1307 	1307 	1307 	1307 	1307 	: m	: m	: m
A,TOTAL,KM2,DEG0Q	: m	: m	: m	: m	: m	: m	: m	1251 	1251 	1251 
A,TOTAL,KM2,DEG0R	: m	: m	: m	: m	: m	: m	: m	1371 	1371 	1371 
A,TOTAL,KM2,DEG0S	: m	: m	: m	: m	: m	: m	: m	142 	142 	142 
A,TOTAL,KM2,DEG0T	: m	: m	: m	: m	: m	: m	: m	805 	805 	805 
A,TOTAL,KM2,DEG0U	: m	: m	: m	: m	: m	: m	: m	1009 	1009 	1009 
A,TOTAL,KM2,DEG0V	: m	: m	: m	: m	: m	: m	: m	461 	461 	461 
A,TOTAL,KM2,DK	42926 	42925 	42925 	42925 	42925 	42925 	42925 	42925 	42925 	42925 
A,TOTAL,KM2,DK0	42926 	42925 	42925 	42925 	42925 	42925 	42925 	42925 	42925 	42925 
A,TOTAL,KM2,DK01	2559 	2559 	2559 	2559 	2559 	2559 	2559 	2559 	2559 	2559 
A,TOTAL,KM2,DK011	180 	180 	180 	180 	180 	180 	180 	180 	180 	180 
A,TOTAL,KM2,DK012	342 	342 	342 	342 	342 	342 	342 	342 	342 	342 
A,TOTAL,KM2,DK013	1449 	1449 	1449 	1449 	1449 	1449 	1449 	1449 	1449 	1449 
A,TOTAL,KM2,DK014	588 	588 	588 	588 	588 	588 	588 	588 	588 	588 
A,TOTAL,KM2,DK02	7224 	7224 	7224 	7224 	7224 	7224 	7224 	7224 	7224 	7224 
A,TOTAL,KM2,DK021	808 	808 	808 	808 	808 	808 	808 	808 	808 	808 
A,TOTAL,KM2,DK022	6416 	6416 	6416 	6416 	6416 	6416 	6416 	6416 	6416 	6416 
A,TOTAL,KM2,DK03	12256 	12256 	12256 	12256 	12256 	12256 	12256 	12256 	12256 	12256 
A,TOTAL,KM2,DK031	3479 	3479 	3479 	3479 	3479 	3479 	3479 	3479 	3479 	3479 
A,TOTAL,KM2,DK032	8777 	8777 	8777 	8777 	8777 	8777 	8777 	8777 	8777 	8777 
A,TOTAL,KM2,DK04	13007 	13007 	13007 	13007 	13007 	13007 	13007 	13007 	13007 	13007 
A,TOTAL,KM2,DK041	7165 	7165 	7165 	7165 	7165 	7165 	7165 	7165 	7165 	7165 
A,TOTAL,KM2,DK042	5842 	5842 	5842 	5842 	5842 	5842 	5842 	5842 	5842 	5842 
A,TOTAL,KM2,DK05	7879 	7879 	7879 	7879 	7879 	7879 	7879 	7879 	7879 	7879 
A,TOTAL,KM2,DK050	7879 	7879 	7879 	7879 	7879 	7879 	7879 	7879 	7879 	7879 
A,TOTAL,KM2,EE	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 
A,TOTAL,KM2,EE0	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 
A,TOTAL,KM2,EE00	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 	45336 
A,TOTAL,KM2,EE001	4338 	4338 	4338 	4338 	4327 	4327 	4327 	4327 	4327 	4327 
A,TOTAL,KM2,EE004	11193 	11193 	11193 	11193 	11204 	11204 	11204 	11204 	11204 	11204 
A,TOTAL,KM2,EE006	9068 	9068 	9068 	9068 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,EE007	4019 	4019 	4019 	4019 	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,EE008	16718 	16718 	16718 	16718 	17216 	17216 	17216 	17216 	17216 	17216 
A,TOTAL,KM2,EE009	: m	: m	: m	: m	9135 	9135 	9135 	9135 	9135 	9135 
A,TOTAL,KM2,EE00A	: m	: m	: m	: m	3454 	3454 	3454 	3454 	3454 	3454 
A,TOTAL,KM2,EL	131692 	131694 	131694 	131694 	131694 	131694 	131694 	131694 	131694 	131694 
A,TOTAL,KM2,EL3	3816 	3817 	3817 	3817 	3817 	3817 	3817 	3817 	3817 	3817 
A,TOTAL,KM2,EL30	3816 	3817 	3817 	3817 	3817 	3817 	3817 	3817 	3817 	3817 
A,TOTAL,KM2,EL301	134 	134 	134 	134 	134 	134 	134 	134 	134 	134 
A,TOTAL,KM2,EL302	68 	68 	68 	68 	68 	68 	68 	68 	68 	68 
A,TOTAL,KM2,EL303	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 
A,TOTAL,KM2,EL304	71 	71 	71 	71 	71 	71 	71 	71 	71 	71 
A,TOTAL,KM2,EL305	1515 	1515 	1515 	1515 	1515 	1515 	1515 	1515 	1515 	1515 
A,TOTAL,KM2,EL306	1005 	1005 	1005 	1005 	1005 	1005 	1005 	1005 	1005 	1005 
A,TOTAL,KM2,EL307	936 	936 	936 	936 	936 	936 	936 	936 	936 	936 
A,TOTAL,KM2,EL4	17505 	17505 	17505 	17505 	17505 	17505 	17505 	17505 	17505 	17505 
A,TOTAL,KM2,EL41	3848 	3848 	3848 	3848 	3848 	3848 	3848 	3848 	3848 	3848 
A,TOTAL,KM2,EL411	2161 	2161 	2161 	2161 	2161 	2161 	2161 	2161 	2161 	2161 
A,TOTAL,KM2,EL412	780 	780 	780 	780 	780 	780 	780 	780 	780 	780 
A,TOTAL,KM2,EL413	907 	907 	907 	907 	907 	907 	907 	907 	907 	907 
A,TOTAL,KM2,EL42	5311 	5311 	5311 	5311 	5311 	5311 	5311 	5311 	5311 	5311 
A,TOTAL,KM2,EL421	2712 	2712 	2712 	2712 	2712 	2712 	2712 	2712 	2712 	2712 
A,TOTAL,KM2,EL422	2599 	2599 	2599 	2599 	2599 	2599 	2599 	2599 	2599 	2599 
A,TOTAL,KM2,EL43	8346 	8346 	8346 	8346 	8346 	8346 	8346 	8346 	8346 	8346 
A,TOTAL,KM2,EL431	2642 	2642 	2642 	2642 	2642 	2642 	2642 	2642 	2642 	2642 
A,TOTAL,KM2,EL432	1828 	1828 	1828 	1828 	1828 	1828 	1828 	1828 	1828 	1828 
A,TOTAL,KM2,EL433	1497 	1497 	1497 	1497 	1497 	1497 	1497 	1497 	1497 	1497 
A,TOTAL,KM2,EL434	2379 	2379 	2379 	2379 	2379 	2379 	2379 	2379 	2379 	2379 
A,TOTAL,KM2,EL5	51638 	51638 	51638 	51638 	51638 	51638 	51638 	51638 	51638 	51638 
A,TOTAL,KM2,EL51	14185 	14186 	14186 	14186 	14186 	14186 	14186 	14186 	14186 	14186 
A,TOTAL,KM2,EL511	4247 	4247 	4247 	4247 	4247 	4247 	4247 	4247 	4247 	4247 
A,TOTAL,KM2,EL512	1799 	1799 	1799 	1799 	1799 	1799 	1799 	1799 	1799 	1799 
A,TOTAL,KM2,EL513	2550 	2550 	2550 	2550 	2550 	2550 	2550 	2550 	2550 	2550 
A,TOTAL,KM2,EL514	3468 	3468 	3468 	3468 	3468 	3468 	3468 	3468 	3468 	3468 
A,TOTAL,KM2,EL515	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 
A,TOTAL,KM2,EL52	18839 	18838 	18838 	18838 	18838 	18838 	18838 	18838 	18838 	18838 
A,TOTAL,KM2,EL521	1704 	1704 	1704 	1704 	1704 	1704 	1704 	1704 	1704 	1704 
A,TOTAL,KM2,EL522	3683 	3683 	3683 	3683 	3683 	3683 	3683 	3683 	3683 	3683 
A,TOTAL,KM2,EL523	2524 	2524 	2524 	2524 	2524 	2524 	2524 	2524 	2524 	2524 
A,TOTAL,KM2,EL524	2507 	2507 	2507 	2507 	2507 	2507 	2507 	2507 	2507 	2507 
A,TOTAL,KM2,EL525	1524 	1524 	1524 	1524 	1524 	1524 	1524 	1524 	1524 	1524 
A,TOTAL,KM2,EL526	3972 	3972 	3972 	3972 	3972 	3972 	3972 	3972 	3972 	3972 
A,TOTAL,KM2,EL527	2924 	2924 	2924 	2924 	2924 	2924 	2924 	2924 	2924 	2924 
A,TOTAL,KM2,EL53	9462 	9462 	9462 	9462 	9462 	9462 	9462 	9462 	9462 	9462 
A,TOTAL,KM2,EL531	5812 	5812 	5812 	5812 	5812 	5812 	5812 	5812 	5812 	5812 
A,TOTAL,KM2,EL532	1724 	1724 	1724 	1724 	1724 	1724 	1724 	1724 	1724 	1724 
A,TOTAL,KM2,EL533	1926 	1926 	1926 	1926 	1926 	1926 	1926 	1926 	1926 	1926 
A,TOTAL,KM2,EL54	9152 	9152 	9152 	9152 	9152 	9152 	9152 	9152 	9152 	9152 
A,TOTAL,KM2,EL541	2644 	2644 	2644 	2644 	2644 	2644 	2644 	2644 	2644 	2644 
A,TOTAL,KM2,EL542	1516 	1516 	1516 	1516 	1516 	1516 	1516 	1516 	1516 	1516 
A,TOTAL,KM2,EL543	4992 	4992 	4992 	4992 	4992 	4992 	4992 	4992 	4992 	4992 
A,TOTAL,KM2,EL6	58733 	58734 	58734 	58734 	58734 	58734 	58734 	58734 	58734 	58734 
A,TOTAL,KM2,EL61	14051 	14050 	14050 	14050 	14050 	14050 	14050 	14050 	14050 	14050 
A,TOTAL,KM2,EL611	6023 	6023 	6023 	6023 	6023 	6023 	6023 	6023 	6023 	6023 
A,TOTAL,KM2,EL612	5387 	5387 	5387 	5387 	5387 	5387 	5387 	5387 	5387 	5387 
A,TOTAL,KM2,EL613	2640 	2640 	2640 	2640 	2640 	2640 	2640 	2640 	2640 	2640 
A,TOTAL,KM2,EL62	2301 	2301 	2301 	2301 	2301 	2301 	2301 	2301 	2301 	2301 
A,TOTAL,KM2,EL621	407 	407 	407 	407 	407 	407 	407 	407 	407 	407 
A,TOTAL,KM2,EL622	637 	637 	637 	637 	637 	637 	637 	637 	637 	637 
A,TOTAL,KM2,EL623	903 	903 	903 	903 	903 	903 	903 	903 	903 	903 
A,TOTAL,KM2,EL624	354 	354 	354 	354 	354 	354 	354 	354 	354 	354 
A,TOTAL,KM2,EL63	11313 	11314 	11314 	11314 	11314 	11314 	11314 	11314 	11314 	11314 
A,TOTAL,KM2,EL631	5419 	5419 	5419 	5419 	5419 	5419 	5419 	5419 	5419 	5419 
A,TOTAL,KM2,EL632	3273 	3273 	3273 	3273 	3273 	3273 	3273 	3273 	3273 	3273 
A,TOTAL,KM2,EL633	2622 	2622 	2622 	2622 	2622 	2622 	2622 	2622 	2622 	2622 
A,TOTAL,KM2,EL64	15560 	15560 	15560 	15560 	15560 	15560 	15560 	15560 	15560 	15560 
A,TOTAL,KM2,EL641	2955 	2955 	2955 	2955 	2955 	2955 	2955 	2955 	2955 	2955 
A,TOTAL,KM2,EL642	4167 	4167 	4167 	4167 	4167 	4167 	4167 	4167 	4167 	4167 
A,TOTAL,KM2,EL643	1870 	1870 	1870 	1870 	1870 	1870 	1870 	1870 	1870 	1870 
A,TOTAL,KM2,EL644	4442 	4442 	4442 	4442 	4442 	4442 	4442 	4442 	4442 	4442 
A,TOTAL,KM2,EL645	2126 	2126 	2126 	2126 	2126 	2126 	2126 	2126 	2126 	2126 
A,TOTAL,KM2,EL65	15508 	15509 	15509 	15509 	15509 	15509 	15509 	15509 	15509 	15509 
A,TOTAL,KM2,EL651	6576 	6576 	6576 	6576 	6576 	6576 	6576 	6576 	6576 	6576 
A,TOTAL,KM2,EL652	2295 	2295 	2295 	2295 	2295 	2295 	2295 	2295 	2295 	2295 
A,TOTAL,KM2,EL653	6638 	6638 	6638 	6638 	6638 	6638 	6638 	6638 	6638 	6638 
A,TOTAL,KM2,ES	505983 	505983 	505983 	505983 	505983 	505983 	505983 	505983 	505983 	505983 
