freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,I551-I553,BE331	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE332	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE334	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE335	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE336	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE34	1381225 	1979519 	2007322 	1873284 	1808322 
A,DOM,NR,I551-I553,BE341	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE342	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE343	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE344	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE345	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE35	613770 	862594 	988767 	1024501 	1012524 
A,DOM,NR,I551-I553,BE351	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE352	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BE353	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,BG	7312194 	9626501 	11286336 	12311004 	12588156 
A,DOM,NR,I551-I553,BG3	4484118 	5758534 	6280926 	6649556 	6792293 
A,DOM,NR,I551-I553,BG31	376703 	473034 	577322 	610373 	663504 
A,DOM,NR,I551-I553,BG311	30276 	43610 	54075 	60000 	64716 
A,DOM,NR,I551-I553,BG312	55608 	61316 	81068 	89660 	101156 
A,DOM,NR,I551-I553,BG313	51212 	66305 	94031 	97417 	117569 
A,DOM,NR,I551-I553,BG314	48745 	58744 	74133 	76406 	101473 
A,DOM,NR,I551-I553,BG315	190862 	243059 	274015 	286890 	278590 
A,DOM,NR,I551-I553,BG32	422512 	555878 	653135 	662506 	659257 
A,DOM,NR,I551-I553,BG321	175412 	246604 	251420 	253509 	273123 
A,DOM,NR,I551-I553,BG322	104984 	138924 	193148 	192890 	182386 
A,DOM,NR,I551-I553,BG323	73771 	102642 	127953 	140308 	128230 
A,DOM,NR,I551-I553,BG324	44800 	40171 	39358 	39904 	41815 
A,DOM,NR,I551-I553,BG325	23545 	27537 	41256 	35895 	33703 
A,DOM,NR,I551-I553,BG33	1285449 	1531418 	1555900 	1576969 	1683406 
A,DOM,NR,I551-I553,BG331	809849 	996705 	961884 	970680 	1035273 
A,DOM,NR,I551-I553,BG332	399964 	458154 	504726 	511525 	546200 
A,DOM,NR,I551-I553,BG333	46014 	53477 	63140 	65144 	72086 
A,DOM,NR,I551-I553,BG334	29622 	23082 	26150 	29620 	29847 
A,DOM,NR,I551-I553,BG34	2399454 	3198204 	3494569 	3799708 	3786126 
A,DOM,NR,I551-I553,BG341	2132423 	2821894 	2943147 	3112888 	3095349 
A,DOM,NR,I551-I553,BG342	45217 	63942 	67662 	76126 	69482 
A,DOM,NR,I551-I553,BG343	17071 	22282 	39582 	36354 	34407 
A,DOM,NR,I551-I553,BG344	204743 	290086 	444178 	574340 	586888 
A,DOM,NR,I551-I553,BG4	2828076 	3867967 	5005410 	5661448 	5795863 
A,DOM,NR,I551-I553,BG41	1258928 	1834771 	2302717 	2609018 	2642385 
A,DOM,NR,I551-I553,BG411	348934 	504977 	750958 	764499 	767893 
A,DOM,NR,I551-I553,BG412	296446 	453582 	429767 	428649 	457409 
A,DOM,NR,I551-I553,BG413	491169 	727222 	917389 	1154807 	1166949 
A,DOM,NR,I551-I553,BG414	: @C	14393 	30461 	36793 	30361 
A,DOM,NR,I551-I553,BG415	: @C	134597 	174142 	224270 	219773 
A,DOM,NR,I551-I553,BG42	1569148 	2033196 	2702693 	3052430 	3153478 
A,DOM,NR,I551-I553,BG421	579628 	780880 	998756 	1041532 	1114192 
A,DOM,NR,I551-I553,BG422	56286 	74687 	131554 	141914 	178809 
A,DOM,NR,I551-I553,BG423	374185 	487748 	795935 	1059758 	1037471 
A,DOM,NR,I551-I553,BG424	494115 	576537 	667565 	700739 	714578 
A,DOM,NR,I551-I553,BG425	64934 	113344 	108883 	108487 	108428 
A,DOM,NR,I551-I553,CH	: 	34343879 	33446345 	32858344 	32396364 
A,DOM,NR,I551-I553,CH0	: 	34343879 	33446345 	32858344 	32396364 
A,DOM,NR,I551-I553,CH01	: 	8281168 	8459616 	8220404 	7950891 
A,DOM,NR,I551-I553,CH011	: 	1441483 	2257616 	2260173 	2164971 
A,DOM,NR,I551-I553,CH012	: 	2686539 	5367182 	5012915 	4734043 
A,DOM,NR,I551-I553,CH013	: 	574072 	834818 	947317 	1051877 
A,DOM,NR,I551-I553,CH02	: 	6335369 	6201135 	6123663 	5889737 
A,DOM,NR,I551-I553,CH021	: 	3057969 	4597716 	4555567 	4369890 
A,DOM,NR,I551-I553,CH022	: 	318954 	636562 	619228 	554079 
A,DOM,NR,I551-I553,CH023	: 	232974 	363538 	375272 	382944 
A,DOM,NR,I551-I553,CH024	: 	194619 	363185 	330035 	329889 
